Date_Ext,negative,neutral,positive,unknown
2019-03-01 ,33,78,64,0
2019-03-02 ,32,64,94,2
2019-03-03 ,48,57,89,0
2019-03-04 ,63,42,123,4
2019-03-05 ,108,182,331,8
2019-03-06 ,57,112,210,6
2019-03-07 ,124,86,212,2
2019-03-08 ,93,94,186,2
2019-03-09 ,50,78,123,6
2019-03-10 ,44,57,120,0
2019-03-11 ,35,58,112,0
2019-03-12 ,123,392,431,30
2019-03-13 ,125,197,283,10
2019-03-14 ,82,116,182,0
2019-03-15 ,53,93,118,2
2019-03-16 ,40,93,118,2
2019-03-17 ,44,80,153,0
2019-03-18 ,43,69,224,6
2019-03-19 ,246,261,560,41
2019-03-20 ,188,235,412,21
2019-03-21 ,60,96,172,2
2019-03-22 ,57,74,147,4
2019-03-23 ,54,85,157,4
2019-03-24 ,56,92,139,6
2019-03-25 ,251,326,432,24
2019-03-26 ,108,82,164,5
2019-03-27 ,39,62,127,0
2019-03-28 ,42,63,104,2
2019-03-29 ,32,57,104,2
2019-03-30 ,31,44,93,0
2019-03-31 ,26,45,87,2
