2,0,1,8,/,0,9,/,1,8
2,0,1,8,/,0,9,/,1,9
2,0,1,8,/,0,9,/,2,5
2,0,1,8,/,0,9,/,2,6
2,0,1,8,/,0,9,/,2,8
2,0,1,8,/,1,0,/,1,0
2,0,1,8,/,1,0,/,1,4
2,0,1,8,/,1,0,/,1,5
2,0,1,8,/,1,0,/,1,6
2,0,1,8,/,1,0,/,1,7
2,0,1,8,/,1,1,/,0,7
2,0,1,8,/,1,2,/,0,2
2,0,1,8,/,1,2,/,0,3
2,0,1,8,/,1,2,/,0,5
2,0,1,8,/,1,2,/,0,7
2,0,1,9,/,0,1,/,2,1
2,0,1,9,/,0,1,/,2,2
2,0,1,9,/,0,1,/,2,3
2,0,1,9,/,0,1,/,2,4
2,0,1,9,/,0,1,/,2,5
2,0,1,9,/,0,2,/,1,0
2,0,1,9,/,0,2,/,1,1
2,0,1,9,/,0,3,/,0,4
2,0,1,9,/,0,3,/,1,6
2,0,1,9,/,0,3,/,1,8
2,0,1,9,/,0,3,/,2,0
2,0,1,9,/,0,3,/,2,2
